Stock,January,February,March,April,May,June,July,August,September,October,November,December
JEPQ,3.61,3.41,3.83,4.33,4.51,6.4,17.77,16.56,22.68,,,
JEPI,28.85,20.43,20.55,23.71,17.34,19.27,6.04,15.67,21.76,,,
SPYI,16.15,16.56,16.88,16.64,17.16,17.53,20.32,22.68,,,,
SCHD,,,3.03,,,,4.11,,,,,
MPW,37.97,,,,37.97,,37.97,,,,,
PFE,,,42,,,42,,,42,,,
MSFT,,,3,,,3,,,,,,
APPL,,0.49,,,0.51,,,,,,,
VOO,,,1.58,,,,2.47,,,,,
SPY,0.07,,,1.43,,,1.77,,,,,
HIMX,,,,,,,112,,,,,
schd-roth,,,,,,,4.18,,,,,
bst-roth,,,,,1.57,1.58,,,,,,